,name,Chukar.Occurrence
893,Hunters Point,A
894,Hurley East,A
895,Hurley West,A
896,Ice Caves,A
897,Ice Caves SE,A
898,Illinois Camp,A
899,Illinois Camp NE,A
900,Illinois Camp SE,A
901,Ima,A
902,Ima NW,A
903,Ima SE,A
904,Ima SW,A
905,Indian Bathtub,A
906,Indian Bluff,A
907,Indian Draw,A
908,Indian Flats,A
909,Indian Mesa,A
910,Indian Peak,A
911,Indian Peaks East,A
912,Indian Peaks West,A
913,Indian Spring Canyon,A
914,Indian Well Wilderness,A
915,Ingram Lake,A
916,Ione,A
917,Iron Mountain,A
918,Ironhouse Draw,A
919,Ironhouse Well,A
920,Isleta,A
921,Jacinto Mesa,A
922,Jacob Spring,A
923,Jal,A
924,Jal NE,A
925,Jal NW,A
926,Jal SE,A
927,Jaralosa Mountain,A
928,Jaritas Ranch,A
929,Jarosa,A
930,Javelina Basin,A
931,Jemez Pueblo,A
932,Jemez Springs,A
933,Jicarilla Peak,A
934,Jicarita Peak,A
935,John Kerr Peak,A
936,John Mills Lake,A
937,Johnson Park,A
938,Johnson Ranch,A
939,Johnson Trading Post,A
940,Jones Canyon,A
941,Jones Ranch School,A
942,Jordan,A
943,Juan Lake,A
944,Juan Largo Canyon East,A
945,Juan Largo Canyon West,A
946,Jug Canyon,A
947,Jumping Spring,A
948,Kansas Valley,A
949,Kansas Valley Lake,A
950,Kellog Well,A
951,Kenna,A
952,Kenna SW,A
953,Kenton,A
954,Kenton SW,A
955,Kerlin Hill,A
956,Kettner Canyon,A
957,Kilbourne Hole,A
958,Kimbeto,A
959,Kin Klizhin Ruins,A
960,Kincaid Ranch,A
961,King Camp,A
962,King Draw,A
963,Kingston,A
964,Kiowa,A
965,Kirtland,A
966,Kirtland SE,A
967,Kirtland SW,A
968,Kitchen Cove,A
969,Koehler,A
970,Koger Ranch,A
971,Krider,A
972,Kyle Harrison Canyon,A
973,L E Ranch,A
974,La Chata Crater,A
975,La Cinta Canyon,A
976,La Cinta Mesa,A
977,La Espia Peak,A
978,La Gotera,A
979,La Jara Peak,A
980,La Joya,A
981,La Joya NW,A
982,La Liendre,A
983,La Madera,A
984,La Mesa,A
985,La Mesita Negra,A
986,La Mesita Negra SE,A
987,La Paloma Canyon,A
988,La Plata,A
989,La Rendija,A
990,La Segita Peaks,A
991,La Segita Peaks NE,A
992,La Silla,A
993,La Union,A
994,La Ventana,A
995,La Vida Mission,A
996,Ladron Peak,A
997,Laguna,A
998,Laguna Canoneros,A
999,Laguna Castillo,A
1000,Laguna De Los Terreros,A
1001,Laguna Del Perro North,A
1002,Laguna Del Perro South,A
1003,Laguna Gatuna,A
1004,Laguna Gatuna NW,A
1005,Laguna Gurule,A
1006,Laguna Honda,A
1007,Laguna Huerfana,A
1008,Laguna La Monia,A
1009,Laguna Ortiz,A
1010,Laguna Peak,A
1011,Laguna Seca,A
1012,Lagunitas Creek,A
1013,Lake Armijo,A
1014,Lake Isabel,A
1015,Lake Lucero,A
1016,Lake Lucero NE,A
1017,Lake Lucero SE,A
1018,Lake Mcmillan North,A
1019,Lake Mcmillan South,A
1020,Lake Valley,A
1021,Lanark,A
1022,Lane Salt Lake,A
1023,Lang Canyon,A
1024,Lapis Point,A
1025,Largo Mesa,A
1026,Las Cruces,A
1027,Las Nutrias,A
1028,Las Tablas,A
1029,Las Vegas,A
1030,Las Vegas NW,A
1031,Las Vegas SE,A
1032,Latir Peak,A
1033,Lava,A
1034,Lawrence Arroyo,A
1035,Lazy E Ranch,A
1036,Lea,A
1037,Leandro Canyon,A
1038,Leasburg,A
1039,Leavry Canyon,A
1040,Lemitar,A
1041,Lesbia,A
1042,Lewis Canyon,A
1043,Lewis Peak,A
1044,Lewis Peak NE,A
1045,Lewiston Lake,A
1046,Leyba,A
1047,Liberty Mesa,A
1048,Lilley Mountain,A
1049,Lincoln,A
1050,Lindrith,A
1051,Lingo,A
1052,Lion Mountain,A
1053,Lion Mountain NW,A
1054,Lisbon,A
1055,Little Black Mountain,A
1056,Little Black Peak,A
1057,Little Black Peak NE,A
1058,Little Grande,A
1059,Little San Pascual Mountain,A
1060,Little Turkey Park,A
1061,Little Water,A
1062,Livingston Ridge,A
1063,Llaves,A
1064,Llonidas Lake,A
1065,Lobo Hill,A
1066,Lobo Hill NE,A
1067,Lobo Hill SE,A
1068,Lobo Hill SW,A
1069,Lobo Springs,A
1070,Lockney,A
1071,Loco Arroyo,A
1072,Loco Canyon,A
1073,Loco Draw,A
1074,Loco Hills,A
1075,Loco Knoll,A
1076,Loco Mountain,A
1077,Log Canyon,A
1078,Logan NE,A
1079,Logan North,A
1080,Logan South,A
1081,Loma Creston,A
1082,Loma De Las Canas,A
1083,Loma Machete,A
1084,Loma Parda,A
1085,Lomas Gatos,A
1086,Lone Mountain,A
1087,Lone Wolf,A
1088,Long Draw,A
1089,Longhorn Reservoir,A
1090,Lookout Mountain,A
1091,Lordsburg,A
1092,Los Cordovas,A
1093,Los Griegos,A
1094,Los Indios Canyon,A
1095,Los Lunas,A
1096,Los Lunas SE,A
1097,Los Medanos,A
1098,Los Montoyas,A
1099,Los Pilares,A
1100,Los Pinos,A
1101,Lost River,A
1102,Lovelace Mesa,A
1103,Lovelady Draw,A
1104,Loving,A
1105,Lovington,A
1106,Lovington NW,A
1107,Lovington SE,A
1108,Lovington SW,A
1109,Lower Colonias,A
1110,Lucero,A
1111,Lucky Lake,A
1112,Lucy,A
1113,Luera Mountains East,A
1114,Luera Mountains NW,A
1115,Luera Mountains West,A
1116,Luis Lopez,A
1117,Lumley Lake,A
1118,Lumley Lake NE,A
1119,Lumley Lake NW,A
1120,Luna,A
1121,Luna Lake,A
1122,Lupton,A
1123,Lybrook,A
1124,Lybrook NW,A
1125,Lybrook SE,A
1126,Lyden,A
1127,Mack Tanks,A
1128,Madre Mountain,A
1129,Madrid,A
1130,Maes,A
1131,Magdalena,A
1132,Magdalena Gap,A
1133,Magdalena Peak,A
1134,Malaga,A
1135,Maljamar,A
1136,Maljamar NE,A
1137,Malone Draw,A
1138,Malpais Hill,A
1139,Malpie Mountain,A
1140,Malstrom Ranch,A
1141,Maness Peak,A
1142,Mangas,A
1143,Mangas Mountain,A
1144,Mangas Springs,A
1145,Manuelito,A
1146,Manzano Peak,A
1147,Maple Peak,A
1148,Mariano Lake,A
1149,Mariano Springs,A
1150,Marley Draw,A
1151,Marmon Ranch,A
1152,Marquez,A
1153,Martha Creek,A
1154,Martin Draw,A
1155,Massacre Peak,A
1156,Maverick Mountain,A
1157,Maxson Crater,A
1158,Maxwell,A
1159,Mayhill,A
1160,McAlister,A
1161,McCarty Ranch,A
1162,McCartys,A
1163,McClede Mountain,A
1164,McCloy Ranch,A
