#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
461,Gold Mountain,A,N,0
462,Golden Lakes,A,Y,0
463,Goldendale,A,Y,0
464,Golgotha Butte,A,N,0
465,Goode Mountain,A,N,0
466,Goodnoe Hills,A,Y,0
467,Goose Prairie,A,Y,0
468,Gould City,P,Y,1
469,Govan,P,Y,1
470,Grand Coulee Dam,P,Y,1
471,Grandview,A,Y,0
472,Grandy Lake,A,Y,0
473,Granger,A,Y,0
474,Granger NE,A,Y,0
475,Granger NW,A,Y,0
476,Granite Falls,A,N,0
477,Granite Point,P,Y,1
478,Grant Orchards,P,Y,1
479,Grayback Mountain,A,Y,0
480,Grayland,A,N,0
481,Grays River,A,N,0
482,Green Mountain,A,N,0
483,Greenacres,A,Y,0
484,Greenhorn Buttes,A,N,0
485,Greenwater,A,N,0
486,Grisdale,A,N,0
487,Groat Mountain,A,Y,0
488,Grotto,A,N,0
489,Guler Mountain,A,Y,0
490,Gumboot Mountain,A,N,0
491,Gunderson Mountain,A,Y,0
492,Gypsy Peak,A,N,0
493,Hadley,P,Y,1
494,Hagerty Butte,A,Y,0
495,Hamilton,A,Y,0
496,Hamilton Buttes,A,N,0
497,Hanford,P,Y,1
498,Hanford NE,P,Y,1
499,Hansville,A,N,0
500,Harlow Ridge,P,Y,1
501,Harrah,A,Y,0
502,Harrah SE,A,Y,0
503,Harrington,A,Y,0
504,Harrington SE,A,Y,0
505,Harsha,P,Y,1
506,Hartline,P,Y,1
507,Hartline NW,P,Y,1
508,Hartline SE,P,Y,1
509,Hartline SW,P,Y,1
510,Harts Lake,A,Y,0
511,Hat Rock,P,N,1
512,Hatchet Mountain,A,N,0
513,Hatton,P,Y,1
514,Hatton NW,P,Y,1
515,Havillah,P,Y,1
516,Hay,P,Y,1
517,Haystack Mountain,A,Y,0
518,Helena Ridge,A,N,0
519,Helmer Mountain,A,Y,0
520,Hembre Mountain,A,Y,0
521,Hemlock Pass,A,N,0
522,Heppner Junction,A,N,0
523,Hobart,A,N,0
524,Hoffstadt Mountain,A,N,0
525,Hoh Head,A,N,0
526,Hoko Falls,A,Y,0
527,Holden,A,N,0
528,Holly,A,N,0
529,Honn Lakes,A,Y,0
530,Hood River,A,N,0
531,Hoodoo Peak,P,Y,1
